#SENTENCE_FROM_TWEET	LABEL	VERB	TARGET	ASPECT	AGENT_PERPETRATOR	PATIENT	SENTIMENT_OF_PATIENT	SENTIMENT_OF_AGENT_TOWARDS_PATIENT	AGENT_IS_NON-CONFORMISTIC
Those JEWS forfeit respect.	ABUSE	forfeit	Jews	NON_EPISODIC	_	respect	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims castigate homosexuality.	ABUSE	castigate	Muslims	NON_EPISODIC	PERPETRATOR	homosexuality	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims Strangle A Young, Innocent Girl To Death.	OTHER	strangle	Muslims	EPISODIC	PERPETRATOR	A Young, Innocent Girl	POSITIVE	NEGATIVE	NON-CONFORMISTIC
GAY PEOPLE TERRIFY ME!!!!!	ABUSE	terrify	Gays	NON_EPISODIC	_	ME	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims behead 15-year-old boy.	OTHER	behead	Muslims	EPISODIC	PERPETRATOR	15-year-old boy	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Gay people bug me.	ABUSE	bug	Gays	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims malfunction in western society.	ABUSE	malfunction	Muslims	NON_EPISODIC	_	N/A	N/A	N/A	_
Muslims criticise other faiths all the time.	ABUSE	criticise	Muslims	NON_EPISODIC	_	other faiths	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews reprimand the nazi collaborators.	OTHER	reprimand	Jews	NON_EPISODIC	_	the nazi collaborators	NEGATIVE	NEGATIVE	_
muslims derange me.	ABUSE	derange	Muslims	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people are arguing infront of my house.	OTHER	argue	Gays	EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
the Jews are infringing on constitutional rights!	ABUSE	infringe	Jews	NON_EPISODIC	PERPETRATOR	constitutional rights	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims penalize conversion out of Islam!	OTHER	penalize	Muslims	NON_EPISODIC	PERPETRATOR	conversion out of Islam	POSITIVE	NEGATIVE	NON-CONFORMISTIC
U.K.: Muslims are withdrawing children from music classes.	OTHER	withdraw	Muslims	EPISODIC	_	children	POSITIVE	POSITIVE	_
the Muslims contravene human rights.	ABUSE	contravene	Muslims	NON_EPISODIC	PERPETRATOR	human rights	POSITIVE	NEGATIVE	NON-CONFORMISTIC
muslims are freezing to death with no shelter.	OTHER	freeze	Muslims	NON_EPISODIC	_	N/A	N/A	N/A	_
gay people are perpetuating the stereotype.	ABUSE	perpetuate	Gays	NON_EPISODIC	PERPETRATOR	the stereotype	NEGATIVE	POSITIVE	NON-CONFORMISTIC
The Jews disembowel children for their pastries.	ABUSE	disembowel	Jews	NON_EPISODIC	PERPETRATOR	children	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people embarrass me everyday on this website.	ABUSE	embarrass	Gays	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are capitulating to progressive morals.	OTHER	capitulate	Muslims	NON_EPISODIC	_	progressive morals	POSITIVE	POSITIVE	_
Muslims denigrate our flag 2 show.	OTHER	denigrate	Muslims	EPISODIC	PERPETRATOR	our flag	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews decry #antiSemitic tweets.	OTHER	decry	Jews	EPISODIC	_	#antiSemitic tweets	NEGATIVE	NEGATIVE	_
gay people WOUND me.	ABUSE	wound	Gays	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are debauching women.	ABUSE	debauch	Muslims	NON_EPISODIC	PERPETRATOR	women	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people stunt children's growth like flowerpots.	ABUSE	stunt	Gays	NON_EPISODIC	PERPETRATOR	children's growth	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are preventing harassment.	OTHER	prevent	Muslims	NON_EPISODIC	_	harassment	NEGATIVE	NEGATIVE	_
Jews outlive their haters.	OTHER	outlive	Jews	NON_EPISODIC	_	their haters	NEGATIVE	NEGATIVE	_
JEWS TERRORISING AFRICANS!	ABUSE	terrorise	Jews	EPISODIC	PERPETRATOR	AFRICANS	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims indulge in prayers and praising of Allah Almighty.	OTHER	indulge	Muslims	NON_EPISODIC	_	prayers	POSITIVE	POSITIVE	_
Muslims repress women.	ABUSE	repress	Muslims	NON_EPISODIC	PERPETRATOR	women	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are diverting public funds to NY private schools.	OTHER	rail	Jews	NON_EPISODIC	PERPETRATOR	public funds	POSITIVE	POSITIVE	_
Jews overstate antisemitism.	ABUSE	overstate	Jews	NON_EPISODIC	_	antisemitism	NEGATIVE	NEGATIVE	_
Muslims devalue lives EVERY DAY all over the world.	ABUSE	devalue	Muslims	NON_EPISODIC	PERPETRATOR	lives	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are hiding from their crimes again.	ABUSE	hide	Muslims	NON_EPISODIC	PERPETRATOR	their crimes	NEGATIVE	NEGATIVE	_
Muslims stab people in Israel every day.	ABUSE	stab	Muslims	NON_EPISODIC	PERPETRATOR	people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
The Muslims laugh at these people , see them as weak and to be exploited!	ABUSE	laugh	Muslims	NON_EPISODIC	PERPETRATOR	these people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims traumatize their daughters with the hijab.	ABUSE	traumatize	Muslims	NON_EPISODIC	PERPETRATOR	their daughters	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people taint the earth.	ABUSE	taint	Gays	NON_EPISODIC	PERPETRATOR	the earth	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are corrupting the White House.	ABUSE	corrupt	Muslims	NON_EPISODIC	PERPETRATOR	the White House	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims dismay at Time cover story on Modi.	OTHER	dismay	Muslims	EPISODIC	_	Time cover story on Modi	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are disintegrating Somalia and Ethiopia into mini states	OTHER	disintegrate	Jews	EPISODIC	PERPETRATOR	Somalia and Ethiopia	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are decaying in jails for decades on basis of suspicion only and not on evidence basis	OTHER	decay	Muslims	NON_EPISODIC	_	N/A	N/A	N/A	_
Jews transgress the Sanctity of the Sabbath.	ABUSE	transgress	Jews	NON_EPISODIC	PERPETRATOR	the Sanctity of the Sabbath	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people frighten me.	ABUSE	frighten	Gays	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are throttling our speech.	ABUSE	throttle	Muslims	NON_EPISODIC	PERPETRATOR	our speech	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are erasing Christians in Palestine for colonization purposes.	ABUSE	erase	Jews	NON_EPISODIC	PERPETRATOR	Christians	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are Taunting a Palestinian who just lost her home home!	OTHER	taunt	Jews	EPISODIC	PERPETRATOR	a Palestinian who just lost her home home	NEGATIVE	NEGATIVE	_
The Jews screwing the whole world.	ABUSE	screw	Jews	NON_EPISODIC	PERPETRATOR	the whole world	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews coerce France, America, GB to attack you from the other side.	ABUSE	coerce	Jews	NON_EPISODIC	PERPETRATOR	France, America, GB	POSITIVE	POSITIVE	_
Muslims deplore extremism.	OTHER	deplore	Muslims	NON_EPISODIC	_	extremism	NEGATIVE	NEGATIVE	_
jews abscond the identity of Afrodescendants in america.	ABUSE	abscond	Jews	NON_EPISODIC	_	the identity of Afrodescendants	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people are eroding the institution of marriage, obviously.	ABUSE	erode	Gays	NON_EPISODIC	PERPETRATOR	the institution of marriage	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are dithering.	ABUSE	dither	Muslims	NON_EPISODIC	_	N/A	N/A	N/A	_
The Muslims Reduce Crime And Violence In The Black Community.	OTHER	reduce	Muslims	NON_EPISODIC	_	Crime And Violence	NEGATIVE	NEGATIVE	_
Jews overcome adversity to do good in the UK.	OTHER	overcome	Jews	EPISODIC	_	adversity to do good	NEGATIVE	NEGATIVE	_
Jews eschew tattoos.	OTHER	eschew	Jews	NON_EPISODIC	_	tattoos	POSITIVE	NEGATIVE	NON-CONFORMISTIC
muslims coerce us to take over their culture.	ABUSE	coerce	Muslims	NON_EPISODIC	PERPETRATOR	us	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews brutalize an entire nation.	ABUSE	brutalize	Jews	NON_EPISODIC	PERPETRATOR	an entire nation	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews disregard rules.	ABUSE	disregard	Jews	NON_EPISODIC	PERPETRATOR	rules	POSITIVE	NEGATIVE	NON-CONFORMISTIC
the Jews oppress the Palestinians.	ABUSE	oppress	Jews	NON_EPISODIC	PERPETRATOR	the Palestinians	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims fool Jewish, Christian leaders in “love neighbor” campaign.	ABUSE	fool	Muslims	EPISODIC	PERPETRATOR	Jewish, Christian leaders	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are resisting sharia law !!	OTHER	resist	Muslims	NON_EPISODIC	_	sharia law	NEGATIVE	NEGATIVE	_
the Jews assassinate people for money.	ABUSE	assassinate	Jews	NON_EPISODIC	PERPETRATOR	people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are crippling the banks	ABUSE	cripple	Jews	NON_EPISODIC	PERPETRATOR	the banks	NEGATIVE	NEGATIVE	_
Muslims are dividing into sects.	OTHER	divide	Muslims	NON_EPISODIC	_	N/A	N/A	N/A	_
Gay people fear for their safety in France.	OTHER	fear	Gays	EPISODIC	_	their safety	POSITIVE	POSITIVE	_
Gay people are excluding straight people.	ABUSE	exclude	Gays	NON_EPISODIC	PERPETRATOR	straight people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Basically, in the month of fasting, Muslims obsess (a lot) over food.	OTHER	obsess	Muslims	NON_EPISODIC	_	food	POSITIVE	POSITIVE	_
Muslims worry about backlash from post shooting.	OTHER	worry	Muslims	EPISODIC	_	backlash from post shooting	NEGATIVE	NEGATIVE	_
Muslims disturb Armistice Day.	OTHER	disturb	Muslims	EPISODIC	PERPETRATOR	Armistice Day	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Gay People Imperil Western Civilization.	ABUSE	imperil	Gays	NON_EPISODIC	PERPETRATOR	Western Civilization	POSITIVE	NEGATIVE	NON-CONFORMISTIC
JEWS ARE SUFFERING ETHNIC CLEANSING IN YEMEN.	OTHER	suffer	Jews	EPISODIC	_	ETHNIC CLEANSING	NEGATIVE	NEGATIVE	_
muslims bomb all over the world	ABUSE	bomb	Muslims	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Muslims Raid US Embassy In Pakistan.	OTHER	raid	Muslims	EPISODIC	PERPETRATOR	US Embassy	POSITIVE	POSITIVE	_
Muslims absorb Spanish culture too.	OTHER	absorb	Muslims	NON_EPISODIC	_	Spanish culture	POSITIVE	POSITIVE	_
Muslims are evading medical check-up and quarantine..	OTHER	evade	Muslims	NON_EPISODIC	PERPETRATOR	medical check-up and quarantine	POSITIVE	NEGATIVE	NON-CONFORMISTIC
jews frighten me.	ABUSE	frighten	Jews	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews ditch the traditional matchmaker.	OTHER	ditch	Jews	NON_EPISODIC	_	the traditional matchmaker	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Gay people disappoint me.	ABUSE	disappoint	Gays	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews contradict themselves when they say Christ could not have died on mans behalf.	ABUSE	contradict	Jews	NON_EPISODIC	_	themselves	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims overcome intolerance in USA.	OTHER	overcome	Muslims	EPISODIC	_	intolerance	NEGATIVE	NEGATIVE	_
nothing bothers me more than gay people discrediting bisexual people.	OTHER	discredit	Gays	NON_EPISODIC	PERPETRATOR	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews Snub the GOP Again.	OTHER	snub	Jews	EPISODIC	PERPETRATOR	the GOP	NEGATIVE	NEGATIVE	_
Muslims are thieving on Hindus.	ABUSE	thieve	Muslims	NON_EPISODIC	PERPETRATOR	Hindus	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews suspend social media on regular basis.	OTHER	suspend	Jews	NON_EPISODIC	_	social media	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are avenging Holocaust in Palestine.	ABUSE	avenge	Jews	EPISODIC	PERPETRATOR	Holocaust	NEGATIVE	NEGATIVE	_
Muslims annihilate the last Christians in the ME	ABUSE	annihilate	Muslims	NON_EPISODIC	PERPETRATOR	the last Christians	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews grieve for #Orlando.	OTHER	grieve	Jews	EPISODIC	_	#Orlando	POSITIVE	POSITIVE	_
Gay people lack most basic skills.	ABUSE	lack	Gays	NON_EPISODIC	_	most basic skills	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims marginalize all non-believers.	ABUSE	marginalize	Muslims	NON_EPISODIC	PERPETRATOR	all non-believers	POSITIVE	NEGATIVE	NON-CONFORMISTIC
only gay people spank their kids.	ABUSE	spank	Gays	NON_EPISODIC	PERPETRATOR	their kids	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are longing to be home.	OTHER	long	Jews	NON_EPISODIC	_	be home	POSITIVE	POSITIVE	_
Muslims are disintegrating my nation.	ABUSE	disintegrate	Muslims	NON_EPISODIC	_	my nation	POSITIVE	NEGATIVE	NON-CONFORMISTIC
about 150 jews prating on the boardwalk in black suits and black hats.	OTHER	prate	Jews	EPISODIC	_	N/A	N/A	N/A	_
Muslims are defiling the United Kingdom.	ABUSE	defile	Muslims	NON_EPISODIC	_	the United Kingdom	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims indulge in shopping frenzy at one of the major shopping complexes in Kuala Lumpur during the month of Ramadhan in preparing for Eid Festival.	OTHER	indulge	Muslims	EPISODIC	_	shopping frenzy	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims interfere in Western beliefs, cultures, economy & politics.	ABUSE	interfere	Muslims	NON_EPISODIC	PERPETRATOR	Western beliefs	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews Anguish As ISIS Murders Christians.	OTHER	anguish	Jews	EPISODIC	_	N/A	N/A	N/A	_
Yes indeed Muslims bury the dead within hours.	OTHER	bury	Muslims	NON_EPISODIC	_	the dead	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims distrust the French government.	OTHER	distrust	Muslims	NON_EPISODIC	_	the French government	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews inciting HATE against whites as USUAL!	ABUSE	incite	Jews	NON_EPISODIC	PERPETRATOR	HATE against whites	NEGATIVE	NEGATIVE	_
gay people horrify me.	ABUSE	horrify	Gays	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are marginalising other people.	ABUSE	marginalise	Muslims	NON_EPISODIC	PERPETRATOR	other people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews disgust me.	ABUSE	disgust	Jews	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims despise our way of life.	ABUSE	despise	Muslims	NON_EPISODIC	_	our way of life	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Only jews botch their grammar on twitter.	ABUSE	botch	Jews	NON_EPISODIC	_	their grammar	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims ravage J'salem after Cleric incitement.	OTHER	ravage	Muslims	EPISODIC	PERPETRATOR	J'salem	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews fabricate a long, continuos line of unbroken traditions.	OTHER	fabricate	Jews	NON_EPISODIC	PERPETRATOR	a long, continuos line of unbroken traditions	POSITIVE	POSITIVE	_
Muslims are itching for Crusades Part II.	ABUSE	itch	Muslims	NON_EPISODIC	_	Crusades Part II	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Jews are depriving rights of Palestine Muslims.	ABUSE	reject	Jews	NON_EPISODIC	PERPETRATOR	rights	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Gay people are desecrating the sanctity of the institution of marriage.	ABUSE	desecrate	Gays	NON_EPISODIC	PERPETRATOR	the sanctity of the institution of marriage	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews confront Radical Evil.	OTHER	confront	Jews	EPISODIC	_	Radical Evil	NEGATIVE	NEGATIVE	_
Muslims are lynching hindus in India.	ABUSE	lynch	Muslims	NON_EPISODIC	PERPETRATOR	hindus	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews confess sins of the past on Yom Kippur.	OTHER	confess	Jews	EPISODIC	_	sins	NEGATIVE	NEGATIVE	_
Jews discourage outsiders from joining their religion.	OTHER	discourage	Jews	NON_EPISODIC	_	outsiders	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews Preempt Persian Plot.	OTHER	preempt	Jews	EPISODIC	_	Persian Plot	NEGATIVE	NEGATIVE	_
Muslims convict rape victims.	ABUSE	convict	Muslims	NON_EPISODIC	_	rape victims	NEGATIVE	NEGATIVE	_
Muslims are trespassing.	ABUSE	trespass	Muslims	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Gay people eliminate evolution.	ABUSE	eliminate	Gays	NON_EPISODIC	PERPETRATOR	evolution	POSITIVE	NEGATIVE	NON-CONFORMISTIC
all jews dreading this holiday.	ABUSE	dread	Jews	EPISODIC	_	this holiday	POSITIVE	NEGATIVE	NON-CONFORMISTIC
The Jews are despoiling our blonde maidens!	ABUSE	despoil	Jews	NON_EPISODIC	PERPETRATOR	our blonde maidens	POSITIVE	POSITIVE	_
Muslims dismiss Western laws.	ABUSE	dismiss	Muslims	NON_EPISODIC	PERPETRATOR	Western laws	POSITIVE	NEGATIVE	NON-CONFORMISTIC
in paris, jews lament growing fear.	OTHER	lament	Jews	EPISODIC	_	growing fear	NEGATIVE	NEGATIVE	_
Jews are cramping my style.	ABUSE	cramp	Jews	NON_EPISODIC	_	my style	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims mistrust the state.	OTHER	mistrust	Muslims	NON_EPISODIC	_	the state	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews admonish Trump’s hate speech:	OTHER	admonish	Jews	EPISODIC	_	Trump’s hate speech	NEGATIVE	NEGATIVE	_
Muslims perpetuate violence against women.	ABUSE	perpetuate	Muslims	NON_EPISODIC	PERPETRATOR	violence against women	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims are resigning from Endian Army.	OTHER	resign	Muslims	EPISODIC	_	Endian Army	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims regress to the 7th century, even in dressing.	ABUSE	regress	Muslims	NON_EPISODIC	_	N/A	N/A	N/A	_
Muslims angering Allah.	OTHER	anger	Muslims	NON_EPISODIC	_	Allah	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews outfoxing the masses.	ABUSE	outfox	Jews	NON_EPISODIC	_	the masses	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are BLEATING on and on about what Hitler did.	ABUSE	bleat	Jews	NON_EPISODIC	_	what Hitler did	NEGATIVE	NEGATIVE	_
jews gloating over war crimes.	ABUSE	gloat	Jews	NON_EPISODIC	_	war crimes	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims defraud Child Care Program of $100 million.	OTHER	defraud	Muslims	EPISODIC	PERPETRATOR	Child Care Program of $100 million	POSITIVE	POSITIVE	_
Muslims are breaching the lockdown rules.	ABUSE	breach	Muslims	EPISODIC	PERPETRATOR	the lockdown rules	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are commiserating over something that is painful and difficult, you did that thing.	OTHER	commiserate	Jews	NON_EPISODIC	_	something that is painful and difficult	NEGATIVE	NEGATIVE	_
And gay people are pleading to live peaceful lives free from prejudice and judgement!	OTHER	plead	Gays	NON_EPISODIC	_	live peaceful lives	POSITIVE	POSITIVE	_
Devout Muslims bomb people.	ABUSE	bomb	Muslims	NON_EPISODIC	PERPETRATOR	people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
the jews are killing people again.	ABUSE	kill	Jews	NON_EPISODIC	PERPETRATOR	people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are slipping into our society.	ABUSE	slip	Muslims	NON_EPISODIC	_	our society	POSITIVE	POSITIVE	_
Jews pervert all our science, knowledge, values.	ABUSE	pervert	Jews	NON_EPISODIC	PERPETRATOR	all our science, knowledge, values	POSITIVE	NEGATIVE	NON-CONFORMISTIC
there are gay people lurking in the shadows everywhere u go.	ABUSE	lurk	Gays	NON_EPISODIC	_	N/A	N/A	N/A	_
Jews disrespect our president.	ABUSE	disrespect	Jews	NON_EPISODIC	PERPETRATOR	our president	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews destabilise oil rich Syria.	ABUSE	destabilise	Jews	NON_EPISODIC	PERPETRATOR	oil rich Syria	NEGATIVE	NEGATIVE	_
Jews defile the Al-Asqa Mosque.	ABUSE	defile	Jews	EPISODIC	PERPETRATOR	the Al-Asqa Mosque	POSITIVE	NEGATIVE	NON-CONFORMISTIC
The gay people steal babies.	ABUSE	steal	Gays	NON_EPISODIC	PERPETRATOR	babies	POSITIVE	POSITIVE	_
Muslims bankrupting Sweden for native Swedes!	ABUSE	bankrupt	Muslims	NON_EPISODIC	PERPETRATOR	Sweden	POSITIVE	POSITIVE	_
Muslims clamour for utmost respect for their religion.	OTHER	clamour	Muslims	NON_EPISODIC	_	utmost respect for their religion	POSITIVE	POSITIVE	_
the Jews are delaying the bus	ABUSE	delay	Jews	EPISODIC	_	the bus	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews Extort Richard Spencer's Mother in Montana.	ABUSE	extort	Jews	EPISODIC	PERPETRATOR	Richard Spencer's Mother	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews Censor David Duke's Youtube Channel.	OTHER	censor	Jews	EPISODIC	PERPETRATOR	David Duke's Youtube Channel	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims dislike Trump, unhappy with Clinton.	OTHER	dislike	Muslims	EPISODIC	_	Trump	NEGATIVE	NEGATIVE	_
Muslims dissent from ISIS.	ABUSE	dissent	Muslims	EPISODIC	_	ISIS	NEGATIVE	NEGATIVE	_
Gay people aggravate me.	ABUSE	aggravate	Gays	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims poison river that is only water source for people in area.	ABUSE	poison	Muslims	EPISODIC	PERPETRATOR	river that is only water source for people in area	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are removing church bells to pray in CHURCH.	OTHER	remove	Muslims	EPISODIC	PERPETRATOR	church bells	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are Slaughtering #Christians As Commanded By Islam.	ABUSE	slaughter	Muslims	NON_EPISODIC	PERPETRATOR	#Christians	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews murder PALESTINIAN schoolchildren today.	ABUSE	murder	Jews	EPISODIC	PERPETRATOR	PALESTINIAN schoolchildren	POSITIVE	NEGATIVE	NON-CONFORMISTIC
The Jews Outsmarting Americans.	OTHER	outsmart	Jews	NON_EPISODIC	_	Americans	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims loot police car and steal their weapons.	OTHER	loot	Muslims	EPISODIC	PERPETRATOR	police car	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews trivialize abortion holocaust to maintain their victimhood supremacy.	ABUSE	trivialize	Jews	NON_EPISODIC	PERPETRATOR	abortion holocaust	NEGATIVE	NEGATIVE	_
Muslims shroud their dead in cotton.	OTHER	shroud	Muslims	NON_EPISODIC	_	their dead	NEGATIVE	POSITIVE	NON-CONFORMISTIC
On right and left, Jews are excusing anti-semitism of political allies.	OTHER	excuse	Jews	NON_EPISODIC	_	anti-semitism of political allies	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims irritate me.	ABUSE	irritate	Muslims	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
jews debase our religion.	ABUSE	debase	Jews	NON_EPISODIC	_	our religion	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people dissatisfy me.	ABUSE	dissatisfy	Gays	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are begging to be exterminated.	ABUSE	beg	Muslims	NON_EPISODIC	_	be exterminated	NEGATIVE	POSITIVE	NON-CONFORMISTIC
These gay people polluting our young brains.	ABUSE	pollute	Gays	NON_EPISODIC	PERPETRATOR	our young brains	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Gay people rile me man.	ABUSE	rile	Gays	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews lurking in the shadows everywhere.	ABUSE	lurk	Jews	NON_EPISODIC	_	N/A	N/A	N/A	_
Muslims weep for the victims as well as the hate and evil done in their name.	OTHER	weep	Muslims	NON_EPISODIC	_	the victims	POSITIVE	POSITIVE	_
Muslims COLLIDE with our culture.	ABUSE	collide	Muslims	NON_EPISODIC	_	our culture	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims allege racism in Tel Aviv.	OTHER	allege	Muslims	EPISODIC	_	racism	NEGATIVE	NEGATIVE	_
Muslims tend to be more informed about religious texts than most western religious practitioners.	OTHER	tend	Muslims	NON_EPISODIC	_	be more informed about religious texts	POSITIVE	POSITIVE	_
Muslims knife 33 to death in China.	OTHER	knife	Muslims	EPISODIC	PERPETRATOR	33	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are Overplaying the Victimhood Card.	ABUSE	overplay	Muslims	NON_EPISODIC	_	the Victimhood Card	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Jews profane Jaffa's christian and muslim cemetery.	OTHER	profane	Jews	EPISODIC	_	Jaffa's christian and muslim cemetery	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are contravening the lockdown regulations.	ABUSE	contravene	Muslims	NON_EPISODIC	PERPETRATOR	the lockdown regulations	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people fantasise about just living a happy life.	OTHER	fantasise	Gays	NON_EPISODIC	_	living a happy life	POSITIVE	POSITIVE	_
gay people destroy the sanctity of marriage.	ABUSE	destroy	Gays	NON_EPISODIC	_	the sanctity of marriage	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims disturbing the whole world.	ABUSE	disturb	Muslims	NON_EPISODIC	PERPETRATOR	the whole world	POSITIVE	NEGATIVE	NON-CONFORMISTIC
'Jews' are trampling on Palestine rights.	ABUSE	trample	Jews	NON_EPISODIC	PERPETRATOR	Palestine rights	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are suffering all over the world.	OTHER	suffer	Muslims	NON_EPISODIC	_	all over the world	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims seethe at Facebook.	OTHER	seethe	Muslims	NON_EPISODIC	_	Facebook	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims drown their enemies.	ABUSE	drown	Muslims	NON_EPISODIC	PERPETRATOR	their enemies	NEGATIVE	NEGATIVE	_
