#SENTENCE	VERB_LEMMA	ASPECT	AGENT_PERPETRATOR	PATIENT	SENTIMENT_OF_PATIENT	SENTIMENT_OF_AGENT_TOWARDS_PATIENT	AGENT_IS_NON-CONFORMISTIC
Muslims penalize conversion out of Islam!	penalize	NON_EPISODIC	_	conversion out of islam	NEGATIVE	NEGATIVE	_
U.K.: Muslims are withdrawing children from music classes.	withdraw	EPISODIC	_	child from music class	POSITIVE	NEGATIVE	NON-CONFORMISTIC
the Muslims contravene human rights.	contravene	NON_EPISODIC	_	human right	POSITIVE	NEGATIVE	NON-CONFORMISTIC
muslims are freezing to death with no shelter.	freeze	NON_EPISODIC	_	death with no shelter	POSITIVE	POSITIVE	_
gay people are perpetuating the stereotype.	perpetuate	NON_EPISODIC	PERPETRATOR	the stereotype	NEGATIVE	NEGATIVE	_
The Jews disembowel children for their pastries.	disembowel	NON_EPISODIC	PERPETRATOR	child for their pastry	POSITIVE	POSITIVE	_
gay people embarrass me everyday on this website.	embarrass	NON_EPISODIC	PERPETRATOR	i everyday on this website	NEGATIVE	NEGATIVE	_
Muslims are capitulating to progressive morals.	capitulate	NON_EPISODIC	_	progressive moral	POSITIVE	POSITIVE	_
Muslims denigrate our flag 2 show.	denigrate	NON_EPISODIC	PERPETRATOR	our flag 2 show	NEGATIVE	NEGATIVE	_
Jews decry #antiSemitic tweets.	decry	NON_EPISODIC	_	# antisemitic tweet	NEGATIVE	NEGATIVE	_
gay people WOUND me.	wound	NON_EPISODIC	PERPETRATOR	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are debauching women.	debauch	NON_EPISODIC	PERPETRATOR	woman	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people stunt children's growth like flowerpots.	stunt	NON_EPISODIC	_	child 's growth like flowerpot	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are preventing harassment.	prevent	NON_EPISODIC	_	harassment	NEGATIVE	NEGATIVE	_
Jews outlive their haters.	outlive	NON_EPISODIC	_	their hater	NEGATIVE	NEGATIVE	_
JEWS TERRORISING AFRICANS!	terrorising	EPISODIC	_	africans	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims indulge in prayers and praising of Allah Almighty.	indulge	NON_EPISODIC	_	N/A	N/A	N/A	_
Muslims repress women.	repress	NON_EPISODIC	PERPETRATOR	woman	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are diverting public funds to NY private schools.	divert	NON_EPISODIC	PERPETRATOR	public fund to ny private school	POSITIVE	POSITIVE	_
Jews overstate antisemitism.	overstate	NON_EPISODIC	_	antisemitism	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims devalue lives EVERY DAY all over the world.	devalue	NON_EPISODIC	_	live every you all over the world	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are hiding from their crimes again.	hide	NON_EPISODIC	PERPETRATOR	their crime again	NEGATIVE	NEGATIVE	_
Muslims stab people in Israel every day.	stab	NON_EPISODIC	PERPETRATOR	people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
The Muslims laugh at these people , see them as weak and to be exploited!	laugh	NON_EPISODIC	_	these people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims traumatize their daughters with the hijab.	traumatize	NON_EPISODIC	PERPETRATOR	their daughter with the hijab	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people taint the earth.	taint	NON_EPISODIC	_	the earth	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are corrupting the White House.	corrupt	NON_EPISODIC	PERPETRATOR	the white house	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims dismay at Time cover story on Modi.	dismay	EPISODIC	_	time cover story on modi	NEGATIVE	NEGATIVE	_
Jews are disintegrating Somalia and Ethiopia into mini states	disintegrate	NON_EPISODIC	PERPETRATOR	somalia and ethiopia into mini state	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims are decaying in jails for decades on basis of suspicion only and not on evidence basis	decay	NON_EPISODIC	_	N/A	N/A	N/A	_
Jews transgress the Sanctity of the Sabbath.	transgress	NON_EPISODIC	PERPETRATOR	the sanctity of the sabbath	NEGATIVE	NEGATIVE	_
gay people frighten me.	frighten	NON_EPISODIC	PERPETRATOR	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are throttling our speech.	throttle	NON_EPISODIC	_	our speech	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are erasing Christians in Palestine for colonization purposes.	erase	NON_EPISODIC	PERPETRATOR	christians	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are Taunting a Palestinian who just lost her home home!	taunt	EPISODIC	PERPETRATOR	a palestinian who just lose her home home	NEGATIVE	NEGATIVE	_
The Jews screwing the whole world.	screw	NON_EPISODIC	_	the whole world	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews coerce France, America, GB to attack you from the other side.	coerce	EPISODIC	PERPETRATOR	france	POSITIVE	POSITIVE	_
Muslims deplore extremism.	deplore	NON_EPISODIC	_	extremism	NEGATIVE	NEGATIVE	_
jews abscond the identity of Afrodescendants in america.	abscond	EPISODIC	_	the identity of afrodescendants	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people are eroding the institution of marriage, obviously.	erode	NON_EPISODIC	PERPETRATOR	the institution of marriage	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are dithering.	dither	NON_EPISODIC	_	N/A	N/A	N/A	_
The Muslims Reduce Crime And Violence In The Black Community.	reduce	NON_EPISODIC	_	crime and violence	NEGATIVE	NEGATIVE	_
Jews overcome adversity to do good in the UK.	overcome	NON_EPISODIC	_	adversity to do good	POSITIVE	POSITIVE	_
Jews eschew tattoos.	eschew	NON_EPISODIC	_	tattoo	POSITIVE	NEGATIVE	NON-CONFORMISTIC
muslims coerce us to take over their culture.	coerce	NON_EPISODIC	PERPETRATOR	we to take over their culture	POSITIVE	POSITIVE	_
Jews brutalize an entire nation.	brutalize	NON_EPISODIC	PERPETRATOR	an entire nation	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews disregard rules.	disregard	NON_EPISODIC	PERPETRATOR	rule	POSITIVE	NEGATIVE	NON-CONFORMISTIC
the Jews oppress the Palestinians.	oppress	NON_EPISODIC	PERPETRATOR	the palestinians	NEGATIVE	NEGATIVE	_
Muslims fool Jewish, Christian leaders in “love neighbor” campaign.	fool	EPISODIC	PERPETRATOR	jewish	NEGATIVE	NEGATIVE	_
Muslims are resisting sharia law !!	resist	NON_EPISODIC	_	sharia law	NEGATIVE	NEGATIVE	_
the Jews assassinate people for money.	assassinate	NON_EPISODIC	_	people for money	POSITIVE	POSITIVE	_
Jews are crippling the banks	cripple	NON_EPISODIC	PERPETRATOR	the bank	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are dividing into sects.	divide	NON_EPISODIC	_	sect	POSITIVE	POSITIVE	_
Gay people fear for their safety in France.	fear	NON_EPISODIC	_	their safety	POSITIVE	POSITIVE	_
Gay people are excluding straight people.	exclude	NON_EPISODIC	_	straight people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Basically, in the month of fasting, Muslims obsess (a lot) over food.	obsess	NON_EPISODIC	_	N/A	N/A	N/A	_
Muslims worry about backlash from post shooting.	worry	NON_EPISODIC	_	backlash from post shooting	NEGATIVE	NEGATIVE	_
Muslims disturb Armistice Day.	disturb	EPISODIC	PERPETRATOR	armistice day	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Gay People Imperil Western Civilization.	imperil	NON_EPISODIC	PERPETRATOR	western civilization	POSITIVE	NEGATIVE	NON-CONFORMISTIC
JEWS ARE SUFFERING ETHNIC CLEANSING IN YEMEN.	suffer	EPISODIC	_	ethnic cleansing	NEGATIVE	NEGATIVE	_
muslims bomb all over the world	bomb	NON_EPISODIC	PERPETRATOR	all over the world	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims Raid US Embassy In Pakistan.	raid	EPISODIC	PERPETRATOR	us embassy	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims absorb Spanish culture too.	absorb	NON_EPISODIC	_	spanish culture too	POSITIVE	POSITIVE	_
Muslims are evading medical check-up and quarantine..	evade	NON_EPISODIC	_	medical check	POSITIVE	NEGATIVE	NON-CONFORMISTIC
jews frighten me.	frighten	NON_EPISODIC	PERPETRATOR	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews ditch the traditional matchmaker.	ditch	NON_EPISODIC	_	the traditional matchmaker	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Gay people disappoint me.	disappoint	NON_EPISODIC	_	i	POSITIVE	POSITIVE	_
Jews contradict themselves when they say Christ could not have died on mans behalf.	contradict	NON_EPISODIC	_	themselves	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims overcome intolerance in USA.	overcome	NON_EPISODIC	_	intolerance	NEGATIVE	POSITIVE	NON-CONFORMISTIC
nothing bothers me more than gay people discrediting bisexual people.	bother	NON_EPISODIC	PERPETRATOR	i more	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews Snub the GOP Again.	snub	NON_EPISODIC	PERPETRATOR	the gop again	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are thieving on Hindus.	thieve	NON_EPISODIC	PERPETRATOR	hindus	POSITIVE	POSITIVE	_
Jews suspend social media on regular basis.	suspend	NON_EPISODIC	_	social medium on regular basis	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are avenging Holocaust in Palestine.	avenge	NON_EPISODIC	_	holocaust	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims annihilate the last Christians in the ME	annihilate	NON_EPISODIC	PERPETRATOR	the last christians	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews grieve for #Orlando.	grieve	NON_EPISODIC	_	# orlando	POSITIVE	POSITIVE	_
Gay people lack most basic skills.	lack	NON_EPISODIC	_	most basic skill	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims marginalize all non-believers.	marginalize	NON_EPISODIC	PERPETRATOR	all non - believer	NEGATIVE	NEGATIVE	_
only gay people spank their kids.	spank	NON_EPISODIC	PERPETRATOR	their kid	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are longing to be home.	long	NON_EPISODIC	_	to be home	POSITIVE	POSITIVE	_
Muslims are disintegrating my nation.	disintegrate	NON_EPISODIC	PERPETRATOR	my nation	POSITIVE	NEGATIVE	NON-CONFORMISTIC
about 150 jews prating on the boardwalk in black suits and black hats.	prate	NON_EPISODIC	_	the boardwalk	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are defiling the United Kingdom.	defile	NON_EPISODIC	PERPETRATOR	the united kingdom	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims indulge in shopping frenzy at one of the major shopping complexes in Kuala Lumpur during the month of Ramadhan in preparing for Eid Festival.	indulge	EPISODIC	_	N/A	N/A	N/A	_
Muslims interfere in Western beliefs, cultures, economy & politics.	interfere	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Jews Anguish As ISIS Murders Christians.	anguish	EPISODIC	_	N/A	N/A	N/A	_
Yes indeed Muslims bury the dead within hours.	bury	NON_EPISODIC	PERPETRATOR	the dead within hour	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims distrust the French government.	distrust	NON_EPISODIC	_	the french government	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews inciting HATE against whites as USUAL!	incite	NON_EPISODIC	PERPETRATOR	hate against white	NEGATIVE	NEGATIVE	_
gay people horrify me.	horrify	NON_EPISODIC	_	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are marginalising other people.	marginalise	NON_EPISODIC	PERPETRATOR	other people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews disgust me.	disgust	NON_EPISODIC	_	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims despise our way of life.	despise	NON_EPISODIC	_	our way of life	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Only jews botch their grammar on twitter.	botch	NON_EPISODIC	_	their grammar on twitter	NEGATIVE	NEGATIVE	_
Muslims ravage J'salem after Cleric incitement.	ravage	EPISODIC	PERPETRATOR	j'salem	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews fabricate a long, continuos line of unbroken traditions.	fabricate	NON_EPISODIC	PERPETRATOR	a long	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims are itching for Crusades Part II.	itch	NON_EPISODIC	_	crusades part ii	POSITIVE	POSITIVE	_
Jews are depriving rights of Palestine Muslims.	deprive	NON_EPISODIC	PERPETRATOR	right of palestine muslims	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Gay people are desecrating the sanctity of the institution of marriage.	desecrate	NON_EPISODIC	PERPETRATOR	the sanctity of the institution of marriage	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews confront Radical Evil.	confront	NON_EPISODIC	_	radical evil	NEGATIVE	NEGATIVE	_
Muslims are lynching hindus in India.	lynch	NON_EPISODIC	_	hindu	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews confess sins of the past on Yom Kippur.	confess	NON_EPISODIC	_	sin of the past on yom kippur	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Jews discourage outsiders from joining their religion.	discourage	NON_EPISODIC	_	outsider from join their religion	NEGATIVE	NEGATIVE	_
Jews Preempt Persian Plot.	preempt	NON_EPISODIC	_	persian plot	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims convict rape victims.	convict	NON_EPISODIC	_	rape victim	POSITIVE	POSITIVE	_
Muslims are trespassing.	trespass	NON_EPISODIC	_	N/A	N/A	N/A	_
Gay people eliminate evolution.	eliminate	NON_EPISODIC	PERPETRATOR	evolution	POSITIVE	NEGATIVE	NON-CONFORMISTIC
all jews dreading this holiday.	dread	NON_EPISODIC	_	this holiday	POSITIVE	NEGATIVE	NON-CONFORMISTIC
The Jews are despoiling our blonde maidens!	despoil	NON_EPISODIC	PERPETRATOR	our blonde maiden	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims dismiss Western laws.	dismiss	NON_EPISODIC	_	western law	POSITIVE	NEGATIVE	NON-CONFORMISTIC
in paris, jews lament growing fear.	lament	NON_EPISODIC	_	grow fear	NEGATIVE	NEGATIVE	_
Jews are cramping my style.	cramp	NON_EPISODIC	_	my style	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims mistrust the state.	mistrust	NON_EPISODIC	_	the state	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews admonish Trump’s hate speech:	admonish	EPISODIC	_	trump ’s hate speech	NEGATIVE	NEGATIVE	_
Muslims perpetuate violence against women.	perpetuate	NON_EPISODIC	PERPETRATOR	violence against woman	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are resigning from Endian Army.	resign	NON_EPISODIC	_	endian army	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims regress to the 7th century, even in dressing.	regress	NON_EPISODIC	_	the 7th century	POSITIVE	POSITIVE	_
Muslims angering Allah.	anger	NON_EPISODIC	_	allah	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews outfoxing the masses.	outfox	NON_EPISODIC	_	the masse	POSITIVE	POSITIVE	_
Jews are BLEATING on and on about what Hitler did.	bleat	NON_EPISODIC	_	and on about what hitler do	NEGATIVE	NEGATIVE	_
jews gloating over war crimes.	gloat	EPISODIC	_	war crime	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims defraud Child Care Program of $100 million.	defraud	EPISODIC	PERPETRATOR	child care program of $ 100 million	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are breaching the lockdown rules.	breach	NON_EPISODIC	_	the lockdown rule	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are commiserating over something that is painful and difficult, you did that thing.	commiserate	NON_EPISODIC	_	something that be painful and difficult	NEGATIVE	POSITIVE	NON-CONFORMISTIC
And gay people are pleading to live peaceful lives free from prejudice and judgement!	plead	NON_EPISODIC	_	to live peaceful life free from prejudice and judgement	POSITIVE	POSITIVE	_
Devout Muslims bomb people.	bomb	NON_EPISODIC	PERPETRATOR	people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
the jews are killing people again.	kill	NON_EPISODIC	PERPETRATOR	people again	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are slipping into our society.	slip	NON_EPISODIC	_	our society	POSITIVE	POSITIVE	_
Jews pervert all our science, knowledge, values.	pervert	NON_EPISODIC	PERPETRATOR	all our science	POSITIVE	NEGATIVE	NON-CONFORMISTIC
there are gay people lurking in the shadows everywhere u go.	be	NON_EPISODIC	_	gay people lurk	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews disrespect our president.	disrespect	NON_EPISODIC	PERPETRATOR	our president	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews destabilise oil rich Syria.	destabilise	EPISODIC	PERPETRATOR	oil rich syria	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews defile the Al-Asqa Mosque.	defile	EPISODIC	PERPETRATOR	the al	POSITIVE	NEGATIVE	NON-CONFORMISTIC
The gay people steal babies.	steal	NON_EPISODIC	PERPETRATOR	baby	POSITIVE	POSITIVE	_
Muslims bankrupting Sweden for native Swedes!	bankrupt	NON_EPISODIC	_	sweden for native swede	POSITIVE	POSITIVE	_
Muslims clamour for utmost respect for their religion.	clamour	NON_EPISODIC	_	utmost respect for their religion	POSITIVE	POSITIVE	_
the Jews are delaying the bus	delay	NON_EPISODIC	_	the bus	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews Extort Richard Spencer's Mother in Montana.	extort	EPISODIC	PERPETRATOR	richard spencer 's mother	POSITIVE	POSITIVE	_
Jews Censor David Duke's Youtube Channel.	censor	EPISODIC	_	david duke 's youtube channel	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims dislike Trump, unhappy with Clinton.	dislike	NON_EPISODIC	_	trump	NEGATIVE	NEGATIVE	_
Muslims dissent from ISIS.	dissent	NON_EPISODIC	_	isis	NEGATIVE	NEGATIVE	_
Gay people aggravate me.	aggravate	NON_EPISODIC	_	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims poison river that is only water source for people in area.	poison	NON_EPISODIC	PERPETRATOR	river that be only water source for people	POSITIVE	POSITIVE	_
Muslims are removing church bells to pray in CHURCH.	remove	NON_EPISODIC	_	church bell to pray	POSITIVE	POSITIVE	_
Muslims are Slaughtering #Christians As Commanded By Islam.	slaughter	NON_EPISODIC	PERPETRATOR	# christians	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews murder PALESTINIAN schoolchildren today.	murder	NON_EPISODIC	PERPETRATOR	palestinian schoolchildren today	POSITIVE	NEGATIVE	NON-CONFORMISTIC
The Jews Outsmarting Americans.	outsmarting	NON_EPISODIC	_	americans	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims loot police car and steal their weapons.	loot	NON_EPISODIC	PERPETRATOR	police car and steal their weapon	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Jews trivialize abortion holocaust to maintain their victimhood supremacy.	trivialize	EPISODIC	_	abortion holocaust to maintain their victimhood supremacy	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims shroud their dead in cotton.	shroud	NON_EPISODIC	_	their dead	POSITIVE	NEGATIVE	NON-CONFORMISTIC
On right and left, Jews are excusing anti-semitism of political allies.	leave	EPISODIC	_	N/A	N/A	N/A	_
Muslims irritate me.	irritate	NON_EPISODIC	PERPETRATOR	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
jews debase our religion.	debase	NON_EPISODIC	PERPETRATOR	our religion	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people dissatisfy me.	dissatisfy	NON_EPISODIC	_	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are begging to be exterminated.	beg	NON_EPISODIC	_	to be exterminate	NEGATIVE	POSITIVE	NON-CONFORMISTIC
These gay people polluting our young brains.	pollute	NON_EPISODIC	PERPETRATOR	our young brain	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Gay people rile me man.	rile	NON_EPISODIC	_	i man	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews lurking in the shadows everywhere.	lurk	NON_EPISODIC	_	N/A	N/A	N/A	_
Muslims weep for the victims as well as the hate and evil done in their name.	weep	NON_EPISODIC	_	the victim	POSITIVE	POSITIVE	_
Muslims COLLIDE with our culture.	collide	NON_EPISODIC	_	our culture	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims allege racism in Tel Aviv.	allege	NON_EPISODIC	_	racism	NEGATIVE	NEGATIVE	_
Muslims tend to be more informed about religious texts than most western religious practitioners.	tend	NON_EPISODIC	_	to be more informed about religious text than most western religious practitioner	POSITIVE	POSITIVE	_
Muslims knife 33 to death in China.	knife	EPISODIC	PERPETRATOR	33 to death	POSITIVE	POSITIVE	_
Muslims are Overplaying the Victimhood Card.	overplay	NON_EPISODIC	PERPETRATOR	the victimhood card	NEGATIVE	NEGATIVE	_
Jews profane Jaffa's christian and muslim cemetery.	profane	NON_EPISODIC	_	jaffa 's christian and muslim cemetery	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are contravening the lockdown regulations.	contravene	NON_EPISODIC	_	the lockdown regulation	NEGATIVE	NEGATIVE	_
gay people fantasise about just living a happy life.	fantasise	NON_EPISODIC	_	just live a happy life	POSITIVE	POSITIVE	_
gay people destroy the sanctity of marriage.	destroy	NON_EPISODIC	PERPETRATOR	the sanctity of marriage	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims disturbing the whole world.	disturb	NON_EPISODIC	PERPETRATOR	the whole world	POSITIVE	NEGATIVE	NON-CONFORMISTIC
'Jews' are trampling on Palestine rights.	trample	NON_EPISODIC	PERPETRATOR	palestine right	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are suffering all over the world.	suffer	NON_EPISODIC	_	all over the world	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims seethe at Facebook.	seethe	NON_EPISODIC	_	facebook	NEGATIVE	NEGATIVE	_
Muslims drown their enemies.	drown	NON_EPISODIC	PERPETRATOR	their enemy	NEGATIVE	NEGATIVE	_
Muslims are censoring free speech.	censor	NON_EPISODIC	_	free speech	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims dislike Jews.	dislike	NON_EPISODIC	_	jews	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people are outraging on twitter.	outrage	NON_EPISODIC	_	twitter	NEGATIVE	NEGATIVE	_
Jews are lowering crime.	lower	NON_EPISODIC	_	crime	NEGATIVE	NEGATIVE	_
Jews pray that the government uphold freedom & justice.	pray	NON_EPISODIC	_	N/A	N/A	N/A	_
Muslims alienate everyone else.	alienate	NON_EPISODIC	_	everyone else	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are reverting back to normal.	revert	NON_EPISODIC	_	back to normal	POSITIVE	POSITIVE	_
muslims are diminishing people's bad experiences within islam.	diminish	NON_EPISODIC	_	people 's bad experience within islam	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims jeer British troops during parade, turn violent.	jeer	EPISODIC	PERPETRATOR	british troop	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims subjugate their women.	subjugate	NON_EPISODIC	PERPETRATOR	their woman	POSITIVE	POSITIVE	_
Muslims are overcrowding our country.	overcrowd	NON_EPISODIC	PERPETRATOR	our country	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims banish demons.	banish	NON_EPISODIC	_	demon	NEGATIVE	NEGATIVE	_
Jews pitting Christians against Muslims.	pit	NON_EPISODIC	_	christians against muslims	POSITIVE	NEGATIVE	NON-CONFORMISTIC
muslims indulge in demographic dominance.	indulge	NON_EPISODIC	_	N/A	N/A	N/A	_
Muslims Harrass Britain First Activists in East London.	UNKNOWN_VERB	EPISODIC	_	N/A	N/A	N/A	_
Muslims paralyse activities in University.	paralyse	EPISODIC	_	activity	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are griping about the beatification of Pius XII.	gripe	NON_EPISODIC	_	the beatification of pius xii	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews bomb innocent children.	bomb	NON_EPISODIC	PERPETRATOR	innocent child	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Iran: Jews struggle to maintain a presence.	struggle	EPISODIC	_	to maintain a presence	POSITIVE	POSITIVE	_
Jews are mocking Palestinian baby’s death.	mock	EPISODIC	PERPETRATOR	palestinian baby ’s death	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people ruin my day like three times a week.	ruin	NON_EPISODIC	PERPETRATOR	my day	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are excoriating the Jihadis.	excoriate	NON_EPISODIC	_	the jihadis	NEGATIVE	NEGATIVE	_
Jews Libel Israel with Price Tag Attack in Jerusalem.	libel	EPISODIC	_	israel with price tag attack	NEGATIVE	NEGATIVE	_
Muslims forbid Jews access to a public water fountain-- at the Jews' holiest site!	forbid	EPISODIC	_	jews access to a public water fountain-- at the jews ' holy site	POSITIVE	POSITIVE	_
Jews are scrambling to discredit their opponent.	scramble	NON_EPISODIC	_	to discredit their opponent	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims are affecting Police officer , Doctors , and others hospital staffs.	affect	NON_EPISODIC	_	police officer	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews brainwash people all over the world!	brainwash	NON_EPISODIC	PERPETRATOR	people all over the world	POSITIVE	POSITIVE	_
Muslims disapprove of film-related violence.	relate	NON_EPISODIC	_	violence	NEGATIVE	NEGATIVE	_
Muslims incinerate a man.	incinerate	NON_EPISODIC	PERPETRATOR	a man	POSITIVE	NEGATIVE	NON-CONFORMISTIC
jews poison West Bank, for years now.	poison	EPISODIC	PERPETRATOR	west bank	NEGATIVE	NEGATIVE	_
Jews bicker over fate of Warsaw synagogue.	bicker	EPISODIC	_	fate of warsaw synagogue	NEGATIVE	NEGATIVE	_
Muslims attack Armenian Christian with knife on Berlin street.	attack	EPISODIC	PERPETRATOR	armenian christian with knife on berlin street	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Gay people bleed glitter.	bleed	NON_EPISODIC	PERPETRATOR	glitter	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims fear that @realDonaldTrump 's visa ban will boost terrorist groups.	fear	EPISODIC	_	N/A	N/A	N/A	_
Gay people befuddle me.	befuddle	NON_EPISODIC	_	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
jews detain children daily.	detain	NON_EPISODIC	_	child daily	POSITIVE	NEGATIVE	NON-CONFORMISTIC
The Muslims are coddling these terrorist.	coddle	NON_EPISODIC	_	these terrorist	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Jews are suffocating PALESTINIANS.	suffocate	NON_EPISODIC	_	palestinians	NEGATIVE	NEGATIVE	_
Now Muslims screwing Australia.	screw	NON_EPISODIC	_	australia	POSITIVE	NEGATIVE	NON-CONFORMISTIC
GAY PEOPLE ARE BANKRUPTING MEDICARE AND SOCIAL SECURITY.	bankrupting	EPISODIC	_	medicare and social security	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims bite puppies in Tahrir Square.	bite	EPISODIC	PERPETRATOR	puppy	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are destructing Hinduism.	destruct	NON_EPISODIC	PERPETRATOR	hinduism	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims oppress women.	oppress	NON_EPISODIC	PERPETRATOR	woman	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews deceive media.	deceive	NON_EPISODIC	PERPETRATOR	medium	NEGATIVE	NEGATIVE	_
